problem_id,bytes_raw,B_hat,z_B_hat,s_byte,time_sec,TL_sec,R,T_hat,z_T_hat,s_time,AC_human,H,z_H,s_H,WA_human,z_WA_human,s_WA,r_p,r_p_,w
ABC415,154.0,2.187520720836463,-0.35771369745626963,1,0.109788,2.0,0.054894,0.05344028794653674,0.8708798943651441,3,0.792455,0.20754499999999998,-0.5061580003884502,1,0.114138,-0.6591333959959762,1,7.0,8.0,0.9523809523809523
ABC416,133.0,2.123851640967086,-0.7321383919363422,0,0.145572,2.0,0.072786,0.07025900293746583,2.51239838663421,3,0.687188,0.312812,0.7575503274556534,3,0.217845,0.6191545671898739,3,12.0,13.0,1.5476190476190477
ABC416,205.0,2.311753861055754,0.37287571370436984,2,0.134664,2.0,0.067332,0.06516207668639501,2.0149347754500715,3,0.687188,0.312812,0.7575503274556534,3,0.217845,0.6191545671898739,3,14.0,15.0,1.7857142857142858
ABC416,138.0,2.1398790864012365,-0.6378842991759375,0,0.0764,2.0,0.0382,0.03748844441099159,-0.6860313300359308,1,0.687188,0.312812,0.7575503274556534,3,0.217845,0.6191545671898739,3,10.0,11.0,1.3095238095238095
ABC417,74.0,1.8692317197309762,-2.229505503459873,0,0.090512,2.0,0.045256,0.044261831491590006,-0.02494395480569786,2,0.72976,0.27024000000000004,0.24648236757288763,2,0.1903,0.27963609740524753,2,8.0,9.0,1.0714285714285714
ABC417,68.0,1.8325089127062364,-2.4454647387574155,0,0.14554,2.0,0.07277,0.07024408838850947,2.510942716095235,3,0.72976,0.27024000000000004,0.24648236757288763,2,0.1903,0.27963609740524753,2,9.0,10.0,1.1904761904761905
ABC417,157.0,2.1958996524092336,-0.3084389333063805,1,0.114453,2.0,0.0572265,0.055648969646481986,1.0864487922239758,3,0.72976,0.27024000000000004,0.24648236757288763,2,0.1903,0.27963609740524753,2,10.0,11.0,1.3095238095238095
ABC418,84.0,1.9242792860618816,-1.9057821475136838,0,0.133736,2.0,0.066868,0.0647272533265311,1.9724957076335272,3,0.673486,0.32651399999999997,0.9220399729107333,3,0.188937,0.2628358187951024,2,10.5,11.5,1.369047619047619
ABC418,143.0,2.155336037465062,-0.5469851658518854,0,0.113225,2.0,0.0566125,0.055068036077494074,1.0297492645378334,3,0.673486,0.32651399999999997,0.9220399729107333,3,0.188937,0.2628358187951024,2,10.5,11.5,1.369047619047619
ABC418,100.0,2.0,-1.4604842848736241,0,0.093478,2.0,0.046739,0.045679617144439896,0.11343292883149257,2,0.673486,0.32651399999999997,0.9220399729107333,3,0.188937,0.2628358187951024,2,9.5,10.5,1.25
ABC419,188.0,2.27415784926368,0.1517813417141272,2,0.115261,2.0,0.0576305,0.05603102857993639,1.1237380146610196,3,0.723782,0.27621799999999996,0.31824700781011256,2,0.192914,0.31185614750570184,2,11.0,12.0,1.4285714285714286
ABC419,378.0,2.5774917998372255,1.9356255876486335,3,0.108874,2.0,0.054437,0.05300697519747031,0.8285882632320809,3,0.723782,0.27621799999999996,0.31824700781011256,2,0.192914,0.31185614750570184,2,12.0,13.0,1.5476190476190477
ABC419,188.0,2.27415784926368,0.1517813417141272,2,0.101431,2.0,0.0507155,0.04947136067383035,0.48350978219353247,2,0.723782,0.27621799999999996,0.31824700781011256,2,0.192914,0.31185614750570184,2,10.0,11.0,1.3095238095238095
ABC420,383.0,2.583198773968623,1.969187122540264,3,0.098557,2.0,0.0492785,0.048102785121431985,0.3499358392055629,2,0.746567,0.253433,0.044717846250195155,2,0.182878,0.18815284880326924,2,11.0,12.0,1.4285714285714286
ABC420,226.0,2.3541084391474008,0.6219542302202743,2,0.089811,2.0,0.0449055,0.043926450705669536,-0.05767735699112685,2,0.746567,0.253433,0.044717846250195155,2,0.182878,0.18815284880326924,2,10.0,11.0,1.3095238095238095
ABC420,233.0,2.367355921026019,0.6998599320964148,2,0.082095,2.0,0.0410475,0.04022741779454115,-0.41870558836337957,1,0.746567,0.253433,0.044717846250195155,2,0.182878,0.18815284880326924,2,9.0,10.0,1.1904761904761905
ABC421,309.0,2.4899584794248346,1.4208602287102632,3,0.127276,2.0,0.063638,0.061695107465694926,1.6765561245854683,3,0.766343,0.233657,-0.19268889937231723,1,0.116689,-0.6276898811504297,1,9.0,10.0,1.1904761904761905
ABC421,149.0,2.173186268412274,-0.4420116483686647,1,0.092267,2.0,0.0461335,0.04510098656193272,0.05695817425659004,2,0.766343,0.233657,-0.19268889937231723,1,0.116689,-0.6276898811504297,1,6.0,7.0,0.8333333333333334
ABC421,167.0,2.2227164711475833,-0.15073476695697155,1,0.083582,2.0,0.041791,0.04094134739741711,-0.34902555359667714,1,0.766343,0.233657,-0.19268889937231723,1,0.116689,-0.6276898811504297,1,5.0,6.0,0.7142857142857143
